filename,from_time,to_time,from_offset,to_offset,text,title,datetime
231013_1232-converted-previously.wav.json,2023-10-13 12:32:52.720,2023-10-13 12:32:57.240,52720,57240," that I need to speak to, which I'll do as quickly as I possibly can.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:57.240,2023-10-13 12:33:02.600,57240,62600, It vaulted a race to this conversation number of points which I now need to go about and,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:02.600,2023-10-13 12:33:06.840,62600,66840, test with the other perspective to try and make them a judgement about working off the,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:06.840,2023-10-13 12:33:07.840,66840,67840, evidence side.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:07.840,2023-10-13 12:33:13.000,67840,73000, It means strictly because it's a lot of confrontation with personal stuff and in fact,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:13.000,2023-10-13 12:33:15.640,73000,75640, my team is also sort of there on my mind.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:15.640,2023-10-13 12:33:17.840,75640,77840, So I had to very start this whole process.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:17.840,2023-10-13 12:33:18.840,77840,78840, I thought it was good.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:18.840,2023-10-13 12:33:19.840,78840,79840, You know it's reasonably good.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:19.840,2023-10-13 12:33:22.440,79840,82440," We dealt with very, very quickly and very, very smoothly.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:22.440,2023-10-13 12:33:26.040,82440,86040, Or it could just be a traumatic long drawn up process.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:26.040,2023-10-13 12:33:30.400,86040,90400," I would appreciate that, the fact that you have of course your personal interest and the",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:30.400,2023-10-13 12:33:35.200,90400,95200, conventional that you have an intention to make this work if at all possible and the,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:35.200,2023-10-13 12:33:37.760,95200,97760, way it makes sense to the other party too.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:37.760,2023-10-13 12:33:38.760,97760,98760, So appreciate that.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:38.760,2023-10-13 12:33:42.760,98760,102760," The truth is I went for a tune of periods that wasn't, you know, if that wasn't a game",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:42.760,2023-10-13 12:33:44.760,102760,104760, you're interested in talking about the standard.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:44.760,2023-10-13 12:33:47.240,104760,107240," Ok Justin, thank you for struggling and so far.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:47.240,2023-10-13 12:33:48.240,107240,108240, What else would you want to cover?,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:48.240,2023-10-13 12:33:53.240,108240,113240," The thing really, the bits in the rest, not the rest of the day, to talk about the timeline,",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:53.240,2023-10-13 12:33:56.240,113240,116240, Maybe it's going to be quicker than the original door.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:33:56.240,2023-10-13 12:34:01.240,116240,121240," I won't worry about any back thing, but I'll never live for the world half the time.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:01.240,2023-10-13 12:34:03.240,121240,123240," I think I'd go back to everyone, but I mean,",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:03.240,2023-10-13 12:34:08.240,123240,128240, but to understand the evidence we spoke about and how the trade we got to serious.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:08.240,2023-10-13 12:34:10.240,128240,130240, Written evidence would be important.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:10.240,2023-10-13 12:34:14.240,130240,134240," However, I'll be challenging them with many of the points we've made in this conversation.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:14.240,2023-10-13 12:34:15.240,134240,135240," Alright, that's not school.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:15.240,2023-10-13 12:34:18.240,135240,138240," Okay, thank you very much. We have a good day.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:34:18.240,2023-10-13 12:34:19.240,138240,139240," Yeah, thank you.",converted-previously.wav,2023-10-13 12:32:00
